date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2023-05-08,-1.385530,0.618220,,0.054080,1.283430,0.311760,0.963070,1.090390,1.664110,-0.530720,1.356390,1.795120
2023-05-10,-1.032180,-0.354890,-0.128560,0.514240,0.887250,-0.798630,-0.662510,1.337720,1.044950,0.258020,1.363570,1.824420
2023-05-11,0.175560,0.794400,-0.770250,-0.876810,0.155720,1.424770,-0.517830,1.116230,1.440700,0.461250,1.514040,1.955580
2023-05-12,-0.054750,0.223400,-1.161280,-0.779730,0.598010,-0.369940,-0.740030,1.376030,1.315380,0.471530,1.493860,1.886090
2023-05-15,0.319680,0.015620,-0.475290,0.218530,1.466200,-0.436140,-0.841170,1.647910,1.159410,-0.599890,1.964730,2.401560
2023-05-16,0.251250,0.170860,0.119960,-0.781020,2.283810,0.829380,1.874540,2.062680,1.429360,-0.432810,1.339610,2.527870
2023-05-17,-0.650000,-1.642200,-1.693470,-1.280530,-1.045650,3.819860,-0.646770,1.389340,1.059890,-0.631670,1.050030,2.649490
2023-05-18,0.931410,-0.258070,1.084380,-0.274480,-0.948990,-0.255600,-0.883760,1.089550,0.876340,-0.384850,1.239800,2.647210
2023-05-19,-0.811230,1.215160,,-0.923500,-0.521900,-0.016600,0.139560,1.119840,0.878960,-0.404820,1.229760,2.622860
2023-05-22,-0.088170,0.894990,0.000000,-0.017490,-0.280000,0.334000,1.003020,2.295750,1.327700,-0.235980,0.294120,2.255640
2023-05-23,0.456490,1.095030,,-1.558220,-0.438110,-0.196970,0.073750,1.624040,1.719230,0.086950,-0.360320,1.954430
2023-05-24,-0.457950,-0.024020,0.000000,0.489180,1.675750,-0.198420,0.489320,1.242660,1.640150,0.080450,-0.624630,2.043230
2023-05-25,-0.142000,0.337410,0.000000,-0.126610,0.090850,-0.657790,0.424680,1.519520,1.454450,-0.131490,-0.491960,2.114320
2023-05-26,-0.064720,-0.257150,0.000000,-1.031260,-0.779460,-0.342620,-1.205840,1.351280,1.438220,-0.159350,-0.132770,2.072790
2023-05-29,1.246380,-1.995270,0.000000,1.120980,-1.265270,-0.299720,-1.429140,1.301480,1.233600,0.015730,-0.240800,1.880780
2023-05-30,-0.314650,-0.581500,0.000000,-0.744770,1.703640,-0.322880,-1.510190,0.773650,1.334070,-0.659660,-0.007250,1.847290
2023-05-31,-1.004940,0.295460,0.000000,-0.151060,0.091580,-0.407970,0.198710,0.585940,1.490550,-1.347170,0.474690,1.832440
2023-06-01,-0.465920,-2.120590,0.000000,-0.729060,-0.760210,-0.495760,-0.536090,0.829300,1.007050,-0.424440,0.188520,2.076660
2023-06-02,1.564080,-1.832380,0.000000,-0.981130,-1.271430,-0.521150,-0.939890,1.283320,0.611600,-0.643120,0.702170,2.349840
