TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-08-06,-0.550203,-0.637972,0.006389,1.683783,1.937378,2.061366,1.265257,1.944229,1.470889,1.643249,-3.583325
2020-08-07,-1.177799,-1.348793,0.002463,1.712557,1.868026,2.04284,1.296649,1.944459,1.447076,1.621111,1.905202
2020-08-10,-0.88718,-1.06244,-0.007006,1.714479,1.738403,1.97625,1.312747,1.936022,1.425176,1.60202,9.032016
2020-08-11,1.577686,-1.563147,-0.014606,1.688349,1.682322,2.004251,1.328849,1.932184,1.402478,1.582458,13.206566
2020-08-12,1.567662,-1.70675,0.007233,1.667843,1.738061,2.080258,1.339582,1.934996,1.375659,1.562483,6.192612
2020-08-13,0.460137,-1.608369,-0.010151,1.6632,1.816892,2.132788,1.36606,1.947049,1.348802,1.543422,-0.167036
2020-08-14,-1.492814,-0.661955,-0.008778,1.628227,1.811291,2.120791,1.380932,1.953646,1.321194,1.524282,-3.23379
2020-08-17,-1.016694,-0.157165,0.013936,1.579866,1.800438,2.077432,1.378981,1.954315,1.283079,1.502568,-0.593825
2020-08-18,-0.61541,-0.118686,-0.004426,1.537045,1.754136,2.011507,1.349395,1.933424,1.240473,1.481165,-6.480361
2020-08-19,-0.244869,-0.150652,0.003523,1.559618,1.659531,1.939075,1.314629,1.911395,1.203251,1.461265,-6.074396
2020-08-20,-2.566516,3.335884,0.020468,1.616682,1.307265,1.830148,1.240814,1.868562,1.165454,1.439676,-2.970792
2020-08-21,-0.18734,2.667114,0.010991,1.68984,0.896009,1.733019,1.178604,1.839527,1.126458,1.420761,3.9141
2020-08-24,0.920187,2.445607,-0.006416,1.712153,0.556867,1.670671,1.132433,1.821163,1.091248,1.40311,6.213133
2020-08-25,-0.264917,2.010959,0.009717,1.767348,0.276791,1.604759,1.072775,1.796533,1.056228,1.386765,-1.921184
2020-08-26,0.541561,1.816258,0.00077,1.811425,-0.010447,1.558272,1.013167,1.779673,1.020858,1.370177,-5.422898
2020-08-27,-1.501423,2.046526,-0.003146,1.802153,-0.579068,1.478831,0.959228,1.760673,0.990578,1.354299,-9.50187
2020-08-28,-1.262864,1.694507,-0.003242,1.693248,-1.418475,1.415518,0.895231,1.732519,0.962966,1.339672,-4.121197
2020-08-31,-0.583632,1.420772,0.007122,1.546664,-1.895214,1.33541,0.839918,1.71319,0.937183,1.324839,-2.65807
2020-09-01,0.235286,1.22712,-0.00765,1.397983,-2.010698,1.262077,0.776964,1.695193,0.91142,1.312721,-3.874725
