date,news_topic_intensity_MonetaryPolicyRF_raw_z,news_sentiment_1d_raw_z,news_topic_intensity_OilGasEnergy_raw_z,news_topic_intensity_MacroRF_raw_z,news_topic_entropy_1d_raw_z,news_topic_intensity_FiscalPolicyCorp_raw_z,news_topic_intensity_GeopoliticsSanctions_raw_z,news_sentiment_extreme_1d_raw
2020-07-18,-0.91039,-0.76206,-1.32912,0.25065,-1.82277,-0.56940,1.57685,1.00000
2020-07-19,-0.90225,-2.22059,-1.32900,0.22653,-1.47085,-1.73440,-1.32916,1.00000
2020-07-20,-0.30149,-0.60980,-0.49428,-0.09323,0.06684,0.60553,0.05158,1.00000
2020-07-21,-0.49072,-0.67820,-0.28404,0.13204,0.58424,0.00984,-0.64895,1.00000
2020-07-22,-0.31305,-0.27277,-0.23094,-0.74572,0.51966,0.53042,-0.07159,0.60000
2020-07-23,-0.78999,0.52922,-0.63678,0.88850,-0.18780,-0.42682,-0.87179,0.66667
2020-07-24,0.81101,0.18900,-0.64571,0.35122,0.45583,0.45703,-0.36147,0.33333
2020-07-25,-0.90913,0.43655,0.43292,-1.03245,-3.10684,-0.55486,-1.33305,0.00000
2020-07-26,-0.90836,1.50911,-0.27582,-0.81348,-1.07784,1.56955,-0.15092,1.00000
2020-07-27,-0.44538,-0.33515,-0.65323,2.12223,-0.24840,0.88271,-0.78600,0.50000
2020-07-28,-0.36449,0.01094,-0.37700,0.30063,0.36336,0.30770,-0.55367,0.50000
2020-07-29,0.15453,-1.30710,0.66194,0.02953,0.68541,-0.04981,-0.65091,1.00000
2020-07-30,-0.16849,-0.81442,-0.18068,0.64096,0.19484,0.50596,0.25863,1.00000
2020-07-31,-0.62320,-0.74521,-0.37390,-0.71806,0.49682,-0.67336,-0.30907,
2020-08-01,-1.51247,-0.74521,0.19905,1.74693,-1.25566,0.63149,-1.49221,
2020-08-02,-0.90900,1.04756,0.31792,-0.04958,-0.57627,0.93033,-0.69702,1.00000
2020-08-03,-0.60975,-0.54027,0.13075,-0.41616,0.15609,0.59395,-0.69394,1.00000
2020-08-04,-0.88351,-0.44629,-0.09486,-0.15691,0.09046,0.53394,0.31398,0.33333
2020-08-05,-0.08408,-0.20708,0.07012,1.31390,0.24702,0.36961,-0.28691,0.66667
2020-08-06,-0.16133,0.24821,-1.24204,0.20812,-0.21355,0.26168,0.26569,0.66667
2020-08-07,-0.09521,0.50260,0.68647,-0.36186,-0.67958,-0.52226,-0.51500,1.00000
2020-08-08,-1.51247,0.26131,-0.46939,-1.23160,-3.16811,-2.44422,2.05721,
