date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2020-08-20,1.09211,0.12709,,-0.54006,0.88270,,,1.75320,0.01783,,,
2020-08-21,-0.25709,-0.62209,,-0.80202,-0.82597,,,1.55151,-0.95820,,,
2020-08-22,0.55178,0.57866,,0.01841,0.47583,,,1.66245,-0.98195,,,
2020-08-23,-0.57872,,,-0.82428,-1.37655,,,1.17975,-0.77703,,,
2020-08-24,-0.19128,1.41144,,-0.81392,-0.60029,,,1.30354,-0.21201,,,
2020-08-25,0.46990,0.47589,,-0.75665,0.74642,,,1.83409,-0.14816,,,
2020-08-26,-0.51982,0.79487,,-0.53469,0.55185,,,1.52854,0.15677,,,
2020-08-27,0.48865,0.73799,,-0.69611,0.01932,,,1.09122,0.48472,,,
2020-08-28,-0.59640,0.21056,,0.04696,0.24601,,,0.62052,1.05958,,,
2020-08-29,0.69524,-2.56475,,1.43908,-1.42439,,,0.50820,-0.24283,,,
2020-08-30,-0.79292,-0.18601,,0.69187,1.31677,,,0.29182,0.83320,,,
2020-08-31,0.35553,-0.86354,,0.13831,2.36160,,,0.25301,0.88444,,,
2020-09-01,1.29394,0.04659,,-0.44147,-0.25371,,,0.31171,0.23414,,,
2020-09-02,-1.12625,0.41890,,-0.62992,1.00599,,,0.50722,-0.08531,,,
2020-09-03,0.84955,0.14134,,-0.46583,-0.24201,,,-0.15160,0.54854,,,
2020-09-04,-1.11071,-0.01746,,-0.76757,1.92255,,,-0.11497,-0.08306,,,
2020-09-05,1.00882,-1.73129,,1.18388,-0.89732,,,-0.07226,-0.37805,,,
2020-09-06,-1.55549,0.69544,,0.34356,-0.30706,,,-0.28453,0.05233,,,
2020-09-07,1.32362,0.03991,,-0.70591,-0.41820,,,-0.20205,-0.11738,,,
2020-09-08,-0.09094,0.72947,,-0.28270,0.24973,,,-0.06908,0.22427,,,
2020-09-09,-0.28757,-0.91452,,0.49537,-1.02397,,,-0.09957,-0.49191,,,
2020-09-10,0.06472,0.74644,,0.40052,-0.39189,,,-0.36467,-0.14957,,,
2020-09-11,-0.08786,0.41588,,-0.24984,0.30225,,,-0.58597,0.46106,,,
2020-09-12,-0.63200,-0.10220,,0.13881,-0.25331,,,-0.32979,0.22345,,,
2020-09-13,1.54638,0.76120,,-0.84343,-0.70051,,,-0.44020,0.68214,,,
2020-09-14,-0.83441,-1.03563,,-0.81250,-1.03246,,,-0.89770,-0.61595,,,
2020-09-15,-0.30419,0.89441,,-0.27648,-0.11117,,,-1.16176,-0.36887,,,
2020-09-16,0.28826,-0.07627,,-0.89464,-0.52123,,,-0.86994,-0.90485,,,
2020-09-17,0.19422,0.71553,,-0.99688,0.27127,,,-0.52311,-1.02553,,,
2020-09-18,-0.29546,1.01486,,-0.24874,0.60663,,,-0.55390,-0.60846,,,
2020-09-19,0.31227,0.07210,,0.51305,-0.44134,,,-0.37261,1.72396,,,
2020-09-20,1.91114,-2.41098,,-1.13453,1.42028,,,0.99098,0.31554,,,
2020-09-21,-3.13362,-1.10343,,-1.03204,-1.19898,,,0.61933,0.22299,,,
2020-09-22,1.85513,0.95744,,-0.20824,-0.36343,,,0.55108,0.81526,,,
2020-09-23,-0.50968,-0.07931,,-0.07987,1.36235,,,0.12240,0.44754,,,
2020-09-24,0.03352,0.65632,,-0.75382,-0.14215,,,0.66561,0.72417,,,
2020-09-25,-0.20471,-0.69270,,1.15245,0.18783,,,1.06828,0.25401,,,
2020-09-26,1.68360,-0.12228,,3.21951,0.98270,,,1.04969,1.43892,,,
2020-09-27,-1.67843,-0.62451,,1.99414,-1.55203,,,1.47355,0.54355,,,
2020-09-28,-0.27377,1.63153,,1.58594,0.86825,,,1.35163,1.58689,,,
2020-09-29,0.78408,0.52535,,-0.96337,-0.11491,,,0.88475,1.37752,,,
2020-09-30,-0.74342,-0.03288,,-0.39170,1.60629,,,1.05539,2.06139,,,
2020-10-01,0.82013,1.48757,,-0.54913,0.92727,,,1.05615,2.44745,,,
2020-10-02,0.16445,-0.01389,,-0.31237,0.74243,,,1.42161,2.09989,,,
2020-10-03,-0.01518,-0.88643,,0.99493,-1.37994,,,1.05072,1.62972,,,
2020-10-04,-0.59588,0.75912,,2.17281,-1.13506,,,1.05547,1.54567,,,
2020-10-05,0.23461,0.35142,,0.72527,0.40194,,,1.61323,2.42433,,,
2020-10-06,-0.40818,0.55164,,0.24432,0.67521,,,1.26324,2.15989,,,
2020-10-07,0.46196,-0.23038,,-0.27154,1.57362,,,0.67644,2.13500,,,
2020-10-08,0.09132,0.76083,,-1.00216,0.32881,,,0.16786,2.16569,,,
2020-10-09,-0.20762,0.50378,,0.77731,1.32546,,,0.09680,1.90949,,,
2020-10-10,0.57913,-1.34750,,0.01076,-1.26581,,,0.09641,1.17466,,,
2020-10-11,-0.81151,-0.35907,,-0.03805,-0.09070,,,-0.86603,2.24676,,,
2020-10-12,0.30370,-1.62099,,-0.61149,2.38378,,,0.26458,2.16750,,,
2020-10-13,0.22731,-0.43749,,-0.54009,-1.02823,,,0.72951,1.54401,,,
2020-10-14,-0.17254,-1.31402,,-0.59955,-1.52671,,,1.48771,1.07891,,,
2020-10-15,-0.98087,0.28141,,1.91600,1.13360,,,0.79454,0.89688,,,
2020-10-16,1.33206,-0.24006,,-0.11201,-0.87635,,,-0.29693,1.21294,,,
2020-10-17,0.08339,-1.71012,,2.70284,-1.50990,,,-0.50884,0.50337,,,
2020-10-18,-0.72710,-2.12504,,3.08822,0.73791,,,-0.19501,-0.26303,,,
2020-10-19,0.14368,0.44913,,-0.61651,0.47981,,,-0.23890,-0.92286,,,
2020-10-20,0.35485,-1.03068,,-0.46110,1.74414,,,0.00756,-1.70187,,,
2020-10-21,-1.35262,0.12731,,-0.71692,0.55933,,,-0.79321,-1.69265,,,
2020-10-22,1.52493,0.99020,,-0.80801,0.50077,,,-0.78200,-2.05836,,,
2020-10-23,-0.43596,1.54903,,-0.68656,0.02273,,,-0.52237,-1.51017,,,
2020-10-24,-0.45347,0.00617,,1.66675,-1.56188,,,-0.79273,-1.19550,,,
2020-10-25,0.93441,0.06856,,2.22573,-0.53506,,,-0.79210,-1.61972,,,
2020-10-26,-0.51954,1.09953,,-0.04977,-0.76863,,,-0.62102,-1.43503,,,
2020-10-27,-0.49682,-0.19115,,-0.61969,-0.72077,,,-0.25955,-1.84175,,,
2020-10-28,-0.16165,1.63855,,-0.84534,0.89186,,,-0.22419,-1.15988,,,
2020-10-29,0.90053,-0.24777,,-0.59997,-0.88741,,,-0.19532,-1.67203,,,
2020-10-30,-0.42990,1.02899,,-0.19523,0.58786,,,-0.21367,-1.55688,,,
2020-10-31,1.84831,-1.16592,,-0.54996,-0.88646,,,-0.02419,-1.51305,,,
2020-11-01,-2.14202,-1.18662,,-0.32172,-0.54543,,,0.77082,-1.94759,,,
2020-11-02,-0.78894,-1.13892,,-0.52505,-0.30766,,,0.09053,-1.94381,,,
2020-11-03,1.53821,1.36666,,-0.61536,0.88526,,,-0.61719,-1.34746,,,
2020-11-04,-0.31943,-0.43886,,-0.25484,-0.33981,,,-0.61836,-1.16787,,,
2020-11-05,0.05424,0.69797,,-0.28698,-0.26401,,,0.22827,-1.05155,,,
2020-11-06,-0.23874,-0.00007,,-0.56539,1.02725,,,1.03811,-1.06229,,,
2020-11-07,0.03145,0.96572,,1.32227,-0.68464,,,1.05747,-0.18038,,,
2020-11-08,-1.54435,-0.46851,,0.46960,-1.30502,,,0.82920,0.46651,,,
2020-11-09,2.60791,1.41899,,-0.22238,0.08477,,,1.01037,0.84231,,,
2020-11-10,-1.45870,0.92191,,-0.79321,0.55615,,,0.47130,1.58183,,,
2020-11-11,0.78535,1.45111,,-0.18592,1.07011,,,0.90846,2.08467,,,
2020-11-12,-0.96857,0.70013,,-0.18579,0.86159,,,1.05048,2.07734,,,
2020-11-13,0.57878,0.11242,,-0.62976,-1.12366,,,0.92045,1.69167,,,
2020-11-14,0.04170,1.05990,,0.59074,1.47527,,,1.10659,2.05802,,,
2020-11-15,-0.02187,-0.68030,,0.67625,-1.22583,,,0.54275,1.88486,,,
2020-11-16,-0.59622,0.52152,,1.60521,-0.18237,,,0.32340,1.78920,,,
2020-11-17,0.86204,-0.36611,,0.25684,0.12891,,,-0.23954,1.80053,,,
2020-11-18,-1.07574,-0.74553,,-0.18664,-0.45606,,,-0.76580,1.19213,,,
2020-11-19,0.91588,0.67162,,-0.81468,0.70593,,,-0.56838,1.52657,,,
2020-11-20,-0.36756,0.43205,,-0.41692,1.07995,,,-0.74724,1.44706,,,
2020-11-21,0.09461,1.06944,,-0.75584,-0.44842,,,-1.23987,2.09379,,,
2020-11-22,0.91073,-2.65112,,2.76969,2.33236,,,-2.61803,1.74696,,,
2020-11-23,-1.91583,0.02328,,0.51063,1.17424,,,-2.07564,2.12102,,,
2020-11-24,1.67980,1.00274,,-0.44731,-0.20729,,,-1.71796,2.05664,,,
2020-11-25,-1.08560,-1.52953,,-0.95003,1.93133,,,-2.31388,1.85170,,,
2020-11-26,-0.51100,0.46993,,-0.87510,0.20412,,,-2.61990,1.84971,,,
2020-11-27,1.48503,0.30105,,-1.09623,-0.05686,,,-2.74241,1.97413,,,
