link,date,headline,description,category
https://www.rbc.ru/rbcfreenews/66210bc89a79478d51092c25,"18 апр 2024, 15:53",,"Россия не будет раскрывать, какие меры применит при попытке конфискации ее активов на Западе, но в Москве в таком случае «церемониться никто не собирается». Об этом на брифингезаявилаофициальный представитель российского Министерства иностранных дел (МИД) Мария Захарова.",
https://www.rbc.ru/rbcfreenews/6621097a9a7947d17820ee8d,"18 апр 2024, 15:13",,"Председатель комитета Госдумы по молодежной политике Артем Метелев отправил на отзыв в правительство законопроект, в котором предлагается дать университетам возможность прекращать договор проживания со студентом, если он не появлялся в общежитии в течение шести месяцев. Об этом депутатсообщилв своем телеграм-канале.",
https://www.rbc.ru/rbcfreenews/6620f5749a79476e69a50a29,"18 апр 2024, 14:43",,,
https://www.rbc.ru/rbcfreenews/66210cbc9a7947188b22d6ab,"18 апр 2024, 15:16",,"В Курской области под обстрел ВСУ попали поселок Тёткино и село Попово-Лежачи,сообщилглава региона Роман Старовойт в телеграм-канале.",
https://www.rbc.ru/rbcfreenews/662104e09a7947062b282192,"18 апр 2024, 14:55",,Российские военные в зоне военной операции на Украине уничтожили пункт управления оперативного командования украинских войск «Север». Об этомсообщилоМинобороны России.,
https://www.rbc.ru/sport/18/04/2024/66210a609a7947a60e6a5c03,"18 апр 2024, 15:34",,"«Торпедо» проиграло в первом раунде плей-офф СКА. В команде, по словам Ларионова, оценили сезон на тройку, но в ней теперь остались только те, у кого «внутри горит огонь»",
https://www.rbc.ru/rbcfreenews/6621106b9a794755b4d91aa7,"18 апр 2024, 16:03",,"Cтатические испытания импортозамещенной версии самолета Superjet 100 завершатся в первой половине 2025 года,сообщиликорреспонденту «РБК Новосибирск» в Сибирском научно-исследовательском институте авиации имени С.А. Чаплыгина (CибНИА).",
https://www.rbc.ru/business/18/04/2024/6620fe1f9a7947b74a2d5761,"18 апр 2024, 15:02",,"Воробьев сообщил, что запуск завода китайских автомобилей на бывшей площадке Merсedes в Подмосковье состоится в мае текущего года. «Автодом» закрыл сделку по покупке предприятия еще в апреле 2023 года",
https://www.rbc.ru/politics/18/04/2024/66210e2d9a7947c5fd7d4c5f,"18 апр 2024, 15:59",,"Командующий КСИР заявил, что Иран определил, где находятся ядерные объекты Израиля, и готов нанести по ним ракетный удар в случае ответа Тель-Авива на ночную атаку",
https://www.rbc.ru/sport/18/04/2024/6620fdaa9a7947ecd2c303cf,"18 апр 2024, 16:20",,"Россиянка уступила чемпионке Уимблдона в трех сетах, причем во второй партии отдала сопернице только один гейм. Елена Рыбакина вышла в четвертьфинал",
https://www.rbc.ru/society/18/04/2024/66211dd89a7947547de7cf5c,"18 апр 2024, 16:27",,,
https://www.rbc.ru/rbcfreenews/6621024f9a79472fcfe51fd5,"18 апр 2024, 14:58",,"Мосгорсуд отменил штраф блогеру Михаилу Светову (признан иноагентом) «в связи с недосказанностью обстоятельств» и прекратил дело,сообщаетпресс-служба городских судов общей юрисдикции.",
https://www.rbc.ru/society/18/04/2024/66210bde9a7947ad43f2a458,"18 апр 2024, 16:11",,"В Рязани, Курской и Брянской областях не будет проведен парад в честь Дня Победы. Ранее губернатор Псковской области заявил об отмене мероприятия из соображений безопасности",
https://www.rbc.ru/sport/18/04/2024/662102d59a7947d091a248ce,"18 апр 2024, 14:44",,"Рашид Рахимов получил удаление в перерыве матча с «Крыльями Советов» за нецензурное оскорбление тренера соперников. В КДК отметили, что он «не рецидивист» и отстранен только на матч с «Локомотивом»",
https://www.rbc.ru/finances/18/04/2024/6620f4a49a794762d60b9d53,"18 апр 2024, 14:37",,"Андрей Бочкарев, покинувший пост вице-мэра Москвы, планирует перейти на работу в «Сбер», рассказали источники РБК. В крупнейшем банке страны он может курировать строительные проекты",
https://www.rbc.ru/rbcfreenews/66210c2d9a79470fd0d53c42,"18 апр 2024, 15:55",,,
https://www.rbc.ru/rbcfreenews/6620f4779a794762d60b9d51,"18 апр 2024, 14:32",,"Французское издание Challenges сообщило об аресте во Франции дома российского бизнесмена Артура Очеретного. Песков отказался комментировать публикацию, но подчеркнул, что изъятие частной собственности «априори незаконно»",
https://www.rbc.ru/rbcfreenews/6620f3529a7947f532f02d70,"18 апр 2024, 13:41",,"Посольство России в Германии не получало информацию о задержании российских граждан в ФРГ, сообщили РБК в пресс-службе диппредставительства.",
https://www.rbc.ru/rbcfreenews/6620fafc9a79471a06059169,"18 апр 2024, 14:15",,"В российском МИДе не стали ни опровергать, ни подтверждать публикациюReutersо срыве переговоров России, Украины и Турции по безопасности судоходства в Черном море.",
https://www.rbc.ru/technology_and_media/18/04/2024/6620f3ea9a794763d0bc9867,"18 апр 2024, 14:31",,"Кадр с палестинкой, которая держит на руках тело погибшей при израильском обстреле в Хан-Юнисе пятилетней племянницы, сделал фотограф Reuters Мохаммед Салем. Он сам палестинец и второй раз стал лауреатом World Press Photo",
https://www.rbc.ru/rbcfreenews/6620eb3b9a7947b8881dc712,"18 апр 2024, 13:00",,,
https://www.rbc.ru/rbcfreenews/6620f6b19a7947dd57b1491a,"18 апр 2024, 14:02",,"В Москве и области в четверг и пятницу, 18–19 апреля, будет действовать «желтый» уровень погодной опасности из-за ветра, сильного дождя и грозы. Этоследуетиз прогностической карты Гидрометцентра.",
