date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-06-09,-0.217770,0.892990,0.358430,-0.968170,0.521160,-0.179730,0.278940,0.000000,0.000000,0.000000,0.000000,0.000000,-0.199075,-0.141383,-0.002179,-1.921196,1.067703,1.631410,-1.240781,-1.224506,2.586073,2.533013,-6.317765
2020-06-10,-0.306240,0.397040,-1.383210,-0.221350,0.555690,1.518840,-0.817520,0.000000,0.000000,0.000000,0.000000,0.000000,-0.442423,0.005295,-0.003503,-1.850158,0.973463,1.591785,-1.192605,-1.165083,2.638436,2.557941,-9.289275
2020-06-11,0.953430,0.727880,0.809160,-0.047080,1.140470,0.896540,-0.339060,0.000000,0.000000,0.000000,0.000000,0.000000,-1.210399,0.188254,0.026211,-1.779877,0.293893,1.563432,-1.139559,-1.087718,2.726558,2.619432,-4.443322
2020-06-15,1.118150,-0.253990,0.712710,-0.695330,-1.248640,0.477930,-0.790970,0.000000,0.000000,0.000000,0.000000,0.000000,-0.782958,0.488403,0.007429,-1.711960,-0.724168,1.542809,-1.088537,-1.016761,2.777474,2.653180,-0.449802
2020-06-16,-1.101970,0.072480,0.712710,-0.008100,0.306070,-0.803430,-0.135090,0.209000,-0.866040,1.149720,-1.109240,0.000000,0.543104,0.979685,-0.008210,-1.663908,-1.665739,1.566616,-1.033942,-0.936110,2.825351,2.686324,0.645431
2020-06-17,1.138940,0.954580,-0.232500,-0.849860,-0.004240,-0.053940,1.201980,0.417530,-0.737590,1.143040,-1.171640,0.000000,-0.306869,-2.408261,0.005810,-1.608187,-2.201188,1.495262,-0.977232,-0.850184,2.848363,2.703995,1.255380
2020-06-18,-0.497990,0.532900,-0.668400,-0.905510,-0.839300,-0.034090,-0.442770,0.281310,-0.306270,1.444750,-1.374800,0.000000,-0.484705,-2.029849,-0.004603,-1.554502,-2.306289,1.404067,-0.908633,-0.750199,2.868701,2.727360,2.809194
2020-06-19,0.412280,-0.307560,-1.363770,1.233490,2.065270,0.648600,-0.842310,0.157930,-0.357790,1.386540,-1.461640,0.000000,1.083172,-2.313409,-0.001762,-1.496886,-2.170824,1.295785,-0.846540,-0.664374,2.868078,2.748064,8.174971
2020-06-22,0.657350,0.316060,0.760820,-0.043490,1.350840,-0.571680,-0.676120,0.488060,-1.582230,1.733620,-0.926190,0.000000,0.081771,-2.614825,-0.004673,-1.426512,-2.068255,1.257537,-0.784848,-0.582987,2.823333,2.729835,0.251234
2020-06-23,0.123550,0.320830,0.224540,-0.132470,-0.087650,-0.906700,0.125960,0.465380,-1.597920,1.819310,-0.725080,0.000000,0.799787,-2.110132,-0.003869,-1.413178,-1.801908,1.265876,-0.715796,-0.484110,2.774382,2.700935,-0.187028
2020-06-25,-0.575930,0.760510,-0.406740,0.454220,-0.268890,-0.760380,0.158850,0.396590,-1.591900,2.017160,-0.848500,0.000000,-1.045220,-2.033329,0.016944,-1.379112,-1.740966,1.185202,-0.658488,-0.409416,2.693776,2.657739,-2.880155
2020-06-26,1.377970,0.910650,,-0.824510,-0.087650,-0.776500,0.565770,0.407910,-1.388400,2.043240,-0.847180,0.000000,0.020887,-1.772814,0.012658,-1.327026,-1.615888,1.119147,-0.604621,-0.337194,2.622110,2.611485,-2.125753
2020-06-29,-0.333910,0.039870,0.687990,0.770900,1.307310,0.468910,-0.646060,0.542180,-1.768920,1.173000,-0.409220,0.000000,0.165587,-1.607327,0.011700,-1.267789,-1.553853,1.084720,-0.555630,-0.266770,2.553272,2.565844,3.248965
2020-06-30,0.290750,0.949970,0.654480,-0.833670,0.224500,0.323330,-0.331280,0.314860,-1.734400,1.087450,-0.304390,0.000000,-0.796680,-1.595620,0.017752,-1.178624,-1.463497,0.957539,-0.500010,-0.183106,2.477336,2.517879,4.035042
2020-07-02,1.638490,0.856210,-1.248680,-1.013440,0.822290,1.292980,-0.216120,0.210010,-1.018460,1.324870,-0.259610,0.000000,1.486268,-1.433901,-0.014373,-1.113755,-1.346300,0.980725,-0.436439,-0.093330,2.413372,2.473322,10.993435
2020-07-03,-1.562950,0.086670,-0.630670,-0.626000,0.009350,0.695140,-1.000210,-0.098230,0.684340,0.849620,0.066820,0.000000,0.356377,-1.306553,0.019574,-0.981899,-1.205111,1.019056,-0.383070,-0.009806,2.338954,2.429091,4.324963
2020-07-06,-3.661230,0.939520,-1.730040,1.962390,-0.359130,0.199660,0.839730,-0.191330,0.231570,0.890870,-0.765350,0.000000,1.107880,-1.338398,0.005443,-0.777665,-0.809546,1.051781,-0.323581,0.090220,2.273219,2.383749,1.681656
2020-07-07,1.712960,-0.316320,0.966740,-0.935100,-0.258410,-0.393660,-0.758100,-1.458070,0.067910,0.748160,-0.574000,0.000000,-0.348109,-1.363817,-0.006112,-0.522120,-0.497277,0.993195,-0.271677,0.180324,2.218500,2.339143,-6.260260
2020-07-08,0.282260,0.825820,,-1.001650,0.053330,-0.470110,-0.090450,-2.102640,-0.073620,0.548510,-0.778800,0.000000,-0.495000,-1.879726,-0.000166,-0.306055,-0.231785,1.091520,-0.222316,0.268473,2.169136,2.299156,-2.875874
2020-07-09,0.221940,0.891980,-0.275810,-1.037660,0.309030,-0.278270,-0.459490,-2.012780,0.046480,0.400530,-0.791200,0.000000,-1.365191,-1.592385,0.002859,-0.027839,-0.367906,1.044619,-0.177731,0.344668,2.123695,2.257521,-5.856421
2020-07-10,-0.083810,0.355700,0.843370,-0.759030,0.453260,-0.233400,-1.134750,-1.619670,0.421680,0.687640,-0.985580,0.000000,0.750527,-1.389256,-0.003480,0.367499,-0.692391,1.052590,-0.129313,0.426447,2.079677,2.215693,-4.570388
2020-07-13,-0.785910,-0.662750,-0.352930,0.985420,-0.939070,-0.013090,-0.967950,-2.147540,0.064350,0.520880,-0.812170,0.000000,-1.290860,-1.092195,-0.000734,0.772100,-0.822615,0.926612,-0.082774,0.497585,2.041429,2.171416,-6.371484
2020-07-14,0.298770,0.616040,0.177860,-0.572590,-0.328740,-0.279830,-0.011170,-1.987160,0.286210,0.409570,-0.909400,0.000000,-0.798542,-0.949641,0.006158,1.262381,-0.946841,0.701556,-0.045138,0.560432,2.004034,2.132312,-0.817834
2020-07-15,0.390300,0.895830,-2.249320,-0.650190,0.309170,-0.214500,-0.140620,-1.110490,1.639460,0.385220,-0.574710,0.000000,0.133318,-1.185067,0.006482,1.593089,-1.418314,0.696915,-0.003176,0.632978,1.968475,2.093557,3.653862
2020-07-16,-0.199490,0.719010,0.162600,-0.650720,-0.809890,-0.466050,1.090130,-1.013470,1.682630,0.187740,-0.648110,0.000000,0.434882,-1.263135,0.003050,1.740834,-1.738829,0.989785,0.047024,0.723536,1.934071,2.059304,6.526158
2020-07-17,0.015260,-0.004270,-0.624000,-0.015270,1.222940,0.054240,-0.807970,-0.809770,1.257410,-0.038190,-0.915240,0.000000,0.592760,-1.463139,0.010833,1.887068,-2.088697,1.149787,0.102157,0.820695,1.902895,2.026156,7.841786
