TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63
2020-10-07,-1.579068,1.242635,,0.0,-0.150011,-1.36357,,1.278812,0.080897,1.417963
2020-10-08,0.172595,1.104103,,0.0,0.322976,-1.32674,,1.263281,0.045441,1.432782
2020-10-09,-0.312043,0.892708,,0.0,1.269563,-1.351156,,1.251854,0.009397,1.44657
2020-10-12,0.505814,0.834733,,0.0,1.707873,-1.372994,,1.244282,-0.022674,1.459675
2020-10-13,-0.414692,0.683899,,0.0,1.775336,-1.455691,,1.232167,-0.046924,1.47148
2020-10-14,1.168902,-0.299971,,0.0,1.709183,-1.583421,,1.224694,-0.076903,1.483906
2020-10-15,-1.094222,0.119142,,0.0,1.867415,-1.75945,,1.203159,-0.135462,1.493528
2020-10-16,-0.342611,0.073162,,0.0,2.035443,-1.928423,,1.17295,-0.210676,1.506452
2020-10-19,0.071899,-0.401359,,0.0,2.053966,-2.043277,,1.140258,-0.270397,1.516164
2020-10-20,0.516634,-3.952326,,0.0,2.114525,-1.956316,,1.106159,-0.333293,1.527178
2020-10-21,-0.553477,-3.011406,,0.0,2.096758,-1.931659,,1.065085,-0.370205,1.536152
2020-10-22,1.047647,-2.645533,,0.0,1.990258,-1.921795,,1.023023,-0.408797,1.541412
2020-10-23,0.830723,-2.090433,,0.0,1.718441,-1.868111,,0.981933,-0.40724,1.552332
2020-10-26,-1.163499,-1.64416,,0.0,1.640409,-1.834675,,0.925209,-0.388243,1.560437
2020-10-27,-0.713127,-1.757746,,0.0,1.728386,-1.87558,,0.871409,-0.312112,1.570719
2020-10-28,-2.434417,-0.476334,,0.0,2.015194,-1.962375,,0.786355,-0.282487,1.573951
2020-10-29,0.992316,-0.255238,,0.0,2.082698,-1.983474,,0.697193,-0.302016,1.581447
2020-10-30,-0.373256,-0.207021,,0.0,2.086567,-1.985186,,0.593957,-0.331407,1.586947
2020-11-02,1.940415,0.44665,,0.0,1.793056,-1.880752,,0.482392,-0.433639,1.590892
2020-11-03,1.843938,0.927892,,0.0,1.311686,-1.777313,,0.382777,-0.48592,1.593474
2020-11-05,2.250048,2.041198,,0.0,0.729884,-1.628641,,0.311447,-0.380054,1.59844
2020-11-06,0.943212,1.631253,,0.0,0.279313,-1.417711,,0.253791,-0.229534,1.604301
2020-11-09,2.17239,2.414216,,0.0,0.192105,-1.136336,,0.212755,-0.02665,1.607367
2020-11-10,0.070904,2.039165,,0.0,0.193517,-0.841859,,0.151732,0.18591,1.615027
2020-11-11,0.204452,1.806372,,0.0,0.270449,-0.53607,,0.08161,0.426492,1.633135
2020-11-12,0.028657,1.557683,,0.0,0.196629,-0.16151,,0.022349,0.722469,1.644033
2020-11-13,-0.224825,1.379396,,0.0,0.1074,0.215084,,-0.034729,1.170237,1.662005
2020-11-16,1.054065,1.192572,,0.0,0.360432,0.799828,,-0.061598,1.649627,1.679116
